1, 4, 1, 1, 1,	37936.316406, 75862, 0.971053, 102981
1, 4, 1, 1, 2,	37495.500000, 74997, 0.999960, 100004
1, 4, 1, 2, 1,	37495.500000, 74997, 0.999960, 100004
1, 4, 1, 2, 2,	37493.125000, 74995, 0.999950, 100005
1, 4, 2, 1, 1,	37495.500000, 74997, 0.999960, 100004
1, 4, 2, 1, 2,	37506.589844, 75023, 0.998941, 100106
1, 4, 2, 2, 1,	37506.589844, 75023, 0.998941, 100106
1, 4, 2, 2, 2,	37490.750000, 74993, 0.999940, 100006
1, 8, 1, 1, 1,	44005.398438, 87902, 0.971053, 102981
1, 8, 1, 1, 2,	43745.250000, 87497, 0.999960, 100004
1, 8, 1, 2, 1,	43745.250000, 87497, 0.999960, 100004
1, 8, 1, 2, 2,	43742.812500, 87495, 0.999950, 100005
1, 8, 2, 1, 1,	43745.250000, 87497, 0.999960, 100004
1, 8, 2, 1, 2,	43749.972656, 87509, 0.998941, 100106
1, 8, 2, 2, 1,	43749.972656, 87509, 0.998941, 100106
1, 8, 2, 2, 2,	43740.375000, 87493, 0.999940, 100006
2, 4, 1, 1, 1,	34134.199219, 68500, 1.285793, 77773
2, 4, 1, 1, 2,	31041.791016, 61963, 1.533601, 65206
2, 4, 1, 2, 1,	31140.033203, 62167, 1.524599, 65591
2, 4, 1, 2, 2,	29514.988281, 58665, 1.656205, 60379
2, 4, 2, 1, 1,	29713.189453, 59389, 1.635056, 61160
2, 4, 2, 1, 2,	27160.376953, 54149, 1.836817, 54442
2, 4, 2, 2, 1,	27036.531250, 53903, 1.847063, 54140
2, 4, 2, 2, 2,	25989.115234, 51855, 1.925336, 51939
2, 8, 1, 1, 1,	42170.406250, 84055, 1.285793, 77773
2, 8, 1, 1, 2,	40626.796875, 81078, 1.533601, 65206
2, 8, 1, 2, 1,	40668.781250, 81176, 1.524599, 65591
2, 8, 1, 2, 2,	39866.269531, 79670, 1.656205, 60379
2, 8, 2, 1, 1,	39932.285156, 79727, 1.635056, 61160
2, 8, 2, 1, 2,	38640.484375, 77256, 1.836817, 54442
2, 8, 2, 2, 1,	38580.675781, 77151, 1.847063, 54140
2, 8, 2, 2, 2,	38022.460938, 76065, 1.925336, 51939
3, 4, 1, 1, 1,	34121.113281, 68477, 1.288610, 77603
3, 4, 1, 1, 2,	30668.939453, 61280, 1.565166, 63891
3, 4, 1, 2, 1,	30655.419922, 61243, 1.566735, 63827
3, 4, 1, 2, 2,	28688.462891, 57029, 1.727951, 57872
3, 4, 2, 1, 1,	29072.457031, 58004, 1.689560, 59187
3, 4, 2, 1, 2,	25117.351562, 50056, 2.000800, 49980
3, 4, 2, 2, 1,	24597.412109, 48877, 2.048887, 48807
3, 4, 2, 2, 2,	20666.464844, 40969, 2.366752, 42252
3, 8, 1, 1, 1,	42174.925781, 84043, 1.288610, 77603
3, 8, 1, 1, 2,	40451.226562, 80676, 1.565166, 63891
3, 8, 1, 2, 1,	40447.515625, 80672, 1.566735, 63827
