1, 4, 1, 1, 1,	37679.753906, 75347, 0.996185, 100383
1, 4, 1, 1, 2,	37537.144531, 75072, 0.999151, 100085
1, 4, 1, 2, 1,	37538.238281, 75074, 0.999121, 100088
1, 4, 1, 2, 2,	37505.324219, 75015, 0.999740, 100026
1, 4, 2, 1, 1,	37524.417969, 75046, 0.999400, 100060
1, 4, 2, 1, 2,	37502.730469, 75010, 0.999780, 100022
1, 4, 2, 2, 1,	37509.199219, 75022, 0.999660, 100034
1, 4, 2, 2, 2,	37498.531250, 75006, 0.999830, 100017
1, 8, 1, 1, 1,	43905.910156, 87678, 0.996185, 100383
1, 8, 1, 1, 2,	43781.835938, 87539, 0.999151, 100085
1, 8, 1, 2, 1,	43782.742188, 87542, 0.999121, 100088
1, 8, 1, 2, 2,	43753.699219, 87510, 0.999740, 100026
1, 8, 2, 1, 1,	43770.667969, 87528, 0.999400, 100060
1, 8, 2, 1, 2,	43751.355469, 87505, 0.999780, 100022
1, 8, 2, 2, 1,	43757.074219, 87514, 0.999660, 100034
1, 8, 2, 2, 2,	43747.468750, 87503, 0.999830, 100017
2, 4, 1, 1, 1,	33878.746094, 67645, 1.291656, 77420
2, 4, 1, 1, 2,	30578.492188, 61212, 1.572599, 63589
2, 4, 1, 2, 1,	30521.683594, 61129, 1.567619, 63791
2, 4, 1, 2, 2,	29141.619141, 58381, 1.697591, 58907
2, 4, 2, 1, 1,	29831.662109, 59983, 1.633053, 61235
2, 4, 2, 1, 2,	28018.556641, 56456, 1.803492, 55448
2, 4, 2, 2, 1,	27901.857422, 56263, 1.795848, 55684
2, 4, 2, 2, 2,	27092.949219, 54624, 1.881822, 53140
2, 8, 1, 1, 1,	41951.597656, 83390, 1.291656, 77420
2, 8, 1, 1, 2,	40407.234375, 80223, 1.572599, 63589
2, 8, 1, 2, 1,	40319.304688, 80148, 1.567619, 63791
2, 8, 1, 2, 2,	39751.562500, 78357, 1.697591, 58907
2, 8, 2, 1, 1,	40038.242188, 79136, 1.633053, 61235
2, 8, 2, 1, 2,	39290.378906, 76800, 1.803492, 55448
2, 8, 2, 2, 1,	39125.906250, 76666, 1.795848, 55684
2, 8, 2, 2, 2,	38853.183594, 75694, 1.881857, 53139
3, 4, 1, 1, 1,	33293.441406, 66383, 1.316846, 75939
3, 4, 1, 1, 2,	29972.039062, 59785, 1.608985, 62151
3, 4, 1, 2, 1,	29847.189453, 59599, 1.603746, 62354
3, 4, 1, 2, 2,	26876.574219, 53606, 1.867100, 53559
3, 4, 2, 1, 1,	28919.949219, 58020, 1.699871, 58828
3, 4, 2, 1, 2,	25052.328125, 50206, 2.027740, 49316
3, 4, 2, 2, 1,	24729.269531, 49807, 2.020774, 49486
3, 4, 2, 2, 2,	21627.496094, 43520, 2.304625, 43391
3, 8, 1, 1, 1,	41523.734375, 83352, 1.316846, 75939
3, 8, 1, 1, 2,	40028.195312, 79897, 1.608985, 62151
3, 8, 1, 2, 1,	39870.605469, 79704, 1.603746, 62354
3, 8, 1, 2, 2,	38545.949219, 76497, 1.867100, 53559
3, 8, 2, 1, 1,	39543.113281, 78524, 1.699900, 58827
3, 8, 2, 1, 2,	37725.699219, 74106, 2.027740, 49316
3, 8, 2, 2, 1,	37359.101562, 73652, 2.020774, 49486
3, 8, 2, 2, 2,	36031.406250, 70764, 2.304625, 43391
4, 4, 1, 1, 1,	33293.441406, 66383, 1.316846, 75939
4, 4, 1, 1, 2,	29963.685547, 59767, 1.609995, 62112
4, 4, 1, 2, 1,	29820.130859, 59549, 1.604570, 62322
4, 4, 1, 2, 2,	26842.519531, 53538, 1.868565, 53517
4, 4, 2, 1, 1,	28780.111328, 57663, 1.705699, 58627
4, 4, 2, 1, 2,	24948.294922, 49977, 2.037324, 49084
4, 4, 2, 2, 1,	24623.908203, 49624, 2.029839, 49265
4, 4, 2, 2, 2,	21006.242188, 42339, 2.361777, 42341
4, 8, 1, 1, 1,	41523.734375, 83352, 1.316846, 75939
4, 8, 1, 1, 2,	40026.152344, 79880, 1.609995, 62112
4, 8, 1, 2, 1,	39848.691406, 79654, 1.604570, 62322
4, 8, 1, 2, 2,	38521.050781, 76434, 1.868565, 53517
