1, 4, 1, 1, 1,	37579.914062, 75160, 0.993759, 100628
1, 4, 1, 1, 2,	37517.125000, 75041, 0.998183, 100182
1, 4, 1, 2, 1,	37517.125000, 75041, 0.998183, 100182
1, 4, 1, 2, 2,	37493.500000, 74995, 0.999960, 100004
1, 4, 2, 1, 1,	37497.406250, 75000, 0.999850, 100015
1, 4, 2, 1, 2,	37493.500000, 74995, 0.999960, 100004
1, 4, 2, 2, 1,	37493.500000, 74995, 0.999960, 100004
1, 4, 2, 2, 2,	37491.500000, 74993, 0.999960, 100004
1, 8, 1, 1, 1,	43790.906250, 87585, 0.993759, 100628
1, 8, 1, 1, 2,	43755.769531, 87518, 0.998183, 100182
1, 8, 1, 2, 1,	43755.769531, 87518, 0.998183, 100182
1, 8, 1, 2, 2,	43743.250000, 87495, 0.999960, 100004
1, 8, 2, 1, 1,	43746.468750, 87499, 0.999850, 100015
1, 8, 2, 1, 2,	43743.250000, 87495, 0.999960, 100004
1, 8, 2, 2, 1,	43743.250000, 87495, 0.999960, 100004
1, 8, 2, 2, 2,	43741.250000, 87493, 0.999960, 100004
2, 4, 1, 1, 1,	34167.632812, 68262, 1.269696, 78759
2, 4, 1, 1, 2,	31510.910156, 63005, 1.482426, 67457
2, 4, 1, 2, 1,	31396.074219, 62777, 1.492047, 67022
2, 4, 1, 2, 2,	29972.927734, 59934, 1.604467, 62326
2, 4, 2, 1, 1,	30282.941406, 60547, 1.579978, 63292
2, 4, 2, 1, 2,	28532.337891, 57073, 1.718833, 58179
2, 4, 2, 2, 1,	28086.148438, 56163, 1.754478, 56997
2, 4, 2, 2, 2,	27083.878906, 54147, 1.834055, 54524
2, 8, 1, 1, 1,	42103.234375, 84148, 1.269696, 78759
2, 8, 1, 1, 2,	40776.070312, 81575, 1.482426, 67457
2, 8, 1, 2, 1,	40721.371094, 81483, 1.492047, 67022
2, 8, 1, 2, 2,	40000.843750, 80073, 1.604467, 62326
2, 8, 2, 1, 1,	40157.808594, 80321, 1.579978, 63292
2, 8, 2, 1, 2,	39275.046875, 78568, 1.718833, 58179
2, 8, 2, 2, 1,	39051.636719, 78140, 1.754478, 56997
2, 8, 2, 2, 2,	38546.722656, 77114, 1.834055, 54524
3, 4, 1, 1, 1,	34131.863281, 68187, 1.272621, 78578
3, 4, 1, 1, 2,	31238.074219, 62457, 1.504732, 66457
3, 4, 1, 2, 1,	31073.201172, 62120, 1.517934, 65879
3, 4, 1, 2, 2,	28881.017578, 57712, 1.692563, 59082
3, 4, 2, 1, 1,	29732.140625, 59428, 1.625144, 61533
3, 4, 2, 1, 2,	26693.810547, 53381, 1.867379, 53551
3, 4, 2, 2, 1,	25984.613281, 51975, 1.924335, 51966
3, 4, 2, 2, 2,	22464.962891, 44864, 2.206385, 45323
3, 8, 1, 1, 1,	42085.742188, 84121, 1.272621, 78578
3, 8, 1, 1, 2,	40642.652344, 81337, 1.504732, 66457
3, 8, 1, 2, 1,	40560.292969, 81162, 1.517934, 65879
3, 8, 1, 2, 2,	39459.535156, 78944, 1.692563, 59082
