1, 4, 1, 1, 1,	37931.621094, 75836, 0.966174, 103501
1, 4, 1, 1, 2,	37647.203125, 75283, 0.988142, 101200
1, 4, 1, 2, 1,	37687.550781, 75360, 0.985008, 101522
1, 4, 1, 2, 2,	37534.804688, 75074, 0.996751, 100326
1, 4, 2, 1, 1,	37687.550781, 75360, 0.985008, 101522
1, 4, 2, 1, 2,	37534.804688, 75074, 0.996751, 100326
1, 4, 2, 2, 1,	37546.542969, 75097, 0.995837, 100418
1, 4, 2, 2, 2,	37509.199219, 75029, 0.998582, 100142
1, 8, 1, 1, 1,	43970.207031, 87935, 0.966174, 103501
1, 8, 1, 1, 2,	43823.093750, 87652, 0.988142, 101200
1, 8, 1, 2, 1,	43843.855469, 87694, 0.985008, 101522
1, 8, 1, 2, 2,	43764.496094, 87537, 0.996751, 100326
1, 8, 2, 1, 1,	43843.855469, 87694, 0.985008, 101522
1, 8, 2, 1, 2,	43764.496094, 87537, 0.996751, 100326
1, 8, 2, 2, 1,	43770.527344, 87549, 0.995837, 100418
1, 8, 2, 2, 2,	43750.335938, 87511, 0.998582, 100142
2, 4, 1, 1, 1,	34333.691406, 68627, 1.255067, 79677
2, 4, 1, 1, 2,	31043.470703, 62098, 1.517934, 65879
2, 4, 1, 2, 1,	30714.306641, 61442, 1.544545, 64744
2, 4, 1, 2, 2,	28758.208984, 57540, 1.700420, 58809
2, 4, 2, 1, 1,	30437.691406, 60831, 1.566760, 63826
2, 4, 2, 1, 2,	28057.763672, 56058, 1.756420, 56934
2, 4, 2, 2, 1,	27871.787109, 55723, 1.771793, 56440
2, 4, 2, 2, 2,	26523.363281, 53058, 1.878852, 53224
2, 8, 1, 1, 1,	42177.863281, 84275, 1.255067, 79677
2, 8, 1, 1, 2,	40530.562500, 81060, 1.517934, 65879
2, 8, 1, 2, 1,	40367.710938, 80724, 1.544545, 64744
2, 8, 1, 2, 2,	39384.804688, 78793, 1.700449, 58808
2, 8, 2, 1, 1,	40229.937500, 80425, 1.566760, 63826
2, 8, 2, 1, 2,	39034.316406, 78032, 1.756451, 56933
2, 8, 2, 2, 1,	38944.414062, 77816, 1.771824, 56439
2, 8, 2, 2, 2,	38265.027344, 76530, 1.878887, 53223
3, 4, 1, 1, 1,	34288.398438, 68559, 1.258732, 79445
3, 4, 1, 1, 2,	30796.632812, 61620, 1.537586, 65037
3, 4, 1, 2, 1,	30405.234375, 60757, 1.569292, 63723
3, 4, 1, 2, 2,	26884.642578, 53687, 1.850687, 54034
3, 4, 2, 1, 1,	30043.611328, 60045, 1.598338, 62565
3, 4, 2, 1, 2,	26358.396484, 52718, 1.892828, 52831
3, 4, 2, 2, 1,	25217.320312, 50414, 1.984954, 50379
3, 4, 2, 2, 2,	20966.503906, 41941, 2.324500, 43020
3, 8, 1, 1, 1,	42155.476562, 84226, 1.258732, 79445
3, 8, 1, 1, 2,	40406.546875, 80817, 1.537586, 65037
3, 8, 1, 2, 1,	40213.308594, 80367, 1.569292, 63723
3, 8, 1, 2, 2,	38451.433594, 76918, 1.850687, 54034
3, 8, 2, 1, 1,	40033.222656, 79981, 1.598338, 62565
3, 8, 2, 1, 2,	38188.570312, 76359, 1.892828, 52831
3, 8, 2, 2, 1,	37623.281250, 75147, 1.984954, 50379
3, 8, 2, 2, 2,	35493.128906, 70880, 2.324554, 43019
4, 4, 1, 1, 1,	34288.398438, 68559, 1.258732, 79445
4, 4, 1, 1, 2,	30796.625000, 61620, 1.537586, 65037
4, 4, 1, 2, 1,	30405.228516, 60757, 1.569292, 63723
4, 4, 1, 2, 2,	26804.968750, 53584, 1.857079, 53848
4, 4, 2, 1, 1,	30043.611328, 60045, 1.598338, 62565
4, 4, 2, 1, 2,	26295.906250, 52593, 1.897785, 52693
4, 4, 2, 2, 1,	25159.822266, 50286, 1.989496, 50264
4, 4, 2, 2, 2,	20405.683594, 40752, 2.369388, 42205
4, 8, 1, 1, 1,	42155.476562, 84226, 1.258732, 79445
4, 8, 1, 1, 2,	40406.539062, 80817, 1.537586, 65037
4, 8, 1, 2, 1,	40213.304688, 80367, 1.569292, 63723
4, 8, 1, 2, 2,	38411.714844, 76833, 1.857079, 53848
4, 8, 2, 1, 1,	40033.222656, 79981, 1.598338, 62565
4, 8, 2, 1, 2,	38157.066406, 76294, 1.897785, 52693
4, 8, 2, 2, 1,	37594.167969, 75115, 1.989496, 50264
4, 8, 2, 2, 2,	35212.824219, 70444, 2.369444, 42204
5, 4, 1, 1, 1,	34288.398438, 68559, 1.258732, 79445
5, 4, 1, 1, 2,	30796.625000, 61620, 1.537586, 65037
5, 4, 1, 2, 1,	30405.228516, 60757, 1.569292, 63723
5, 4, 1, 2, 2,	26804.968750, 53584, 1.857079, 53848
5, 4, 2, 1, 1,	30043.611328, 60045, 1.598338, 62565
5, 4, 2, 1, 2,	26295.900391, 52593, 1.897785, 52693
5, 4, 2, 2, 1,	25159.822266, 50286, 1.989496, 50264
5, 4, 2, 2, 2,	20404.966797, 40752, 2.369444, 42204
5, 8, 1, 1, 1,	42155.476562, 84226, 1.258732, 79445
5, 8, 1, 1, 2,	40406.539062, 80817, 1.537586, 65037
5, 8, 1, 2, 1,	40213.304688, 80367, 1.569292, 63723
5, 8, 1, 2, 2,	38411.714844, 76833, 1.857079, 53848
5, 8, 2, 1, 1,	40033.222656, 79981, 1.598338, 62565
5, 8, 2, 1, 2,	38157.058594, 76294, 1.897785, 52693
5, 8, 2, 2, 1,	37594.167969, 75115, 1.989496, 50264
5, 8, 2, 2, 2,	35213.988281, 70446, 2.369444, 42204
6, 4, 1, 1, 1,	34288.398438, 68559, 1.258732, 79445
6, 4, 1, 1, 2,	30796.625000, 61620, 1.537586, 65037
6, 4, 1, 2, 1,	30405.228516, 60757, 1.569292, 63723
6, 4, 1, 2, 2,	26804.968750, 53584, 1.857079, 53848
6, 4, 2, 1, 1,	30043.611328, 60045, 1.598338, 62565
6, 4, 2, 1, 2,	26295.900391, 52593, 1.897785, 52693
6, 4, 2, 2, 1,	25159.822266, 50286, 1.989496, 50264
6, 4, 2, 2, 2,	20404.964844, 40752, 2.369444, 42204
6, 8, 1, 1, 1,	42155.476562, 84226, 1.258732, 79445
6, 8, 1, 1, 2,	40406.539062, 80817, 1.537586, 65037
6, 8, 1, 2, 1,	40213.304688, 80367, 1.569292, 63723
6, 8, 1, 2, 2,	38411.714844, 76833, 1.857079, 53848
6, 8, 2, 1, 1,	40033.222656, 79981, 1.598338, 62565
6, 8, 2, 1, 2,	38157.058594, 76294, 1.897785, 52693
6, 8, 2, 2, 1,	37594.167969, 75115, 1.989496, 50264
6, 8, 2, 2, 2,	35213.988281, 70446, 2.369444, 42204
7, 4, 1, 1, 1,	34288.398438, 68559, 1.258732, 79445
7, 4, 1, 1, 2,	30796.625000, 61620, 1.537586, 65037
7, 4, 1, 2, 1,	30405.228516, 60757, 1.569292, 63723
7, 4, 1, 2, 2,	26804.968750, 53584, 1.857079, 53848
7, 4, 2, 1, 1,	30043.611328, 60045, 1.598338, 62565
7, 4, 2, 1, 2,	26295.900391, 52593, 1.897785, 52693
7, 4, 2, 2, 1,	25159.822266, 50286, 1.989496, 50264
7, 4, 2, 2, 2,	20404.964844, 40752, 2.369444, 42204
7, 8, 1, 1, 1,	42155.476562, 84226, 1.258732, 79445
7, 8, 1, 1, 2,	40406.539062, 80817, 1.537586, 65037
7, 8, 1, 2, 1,	40213.304688, 80367, 1.569292, 63723
7, 8, 1, 2, 2,	38411.714844, 76833, 1.857079, 53848
7, 8, 2, 1, 1,	40033.222656, 79981, 1.598338, 62565
7, 8, 2, 1, 2,	38157.058594, 76294, 1.897785, 52693
7, 8, 2, 2, 1,	37594.167969, 75115, 1.989496, 50264
7, 8, 2, 2, 2,	35213.988281, 70446, 2.369444, 42204
8, 4, 1, 1, 1,	34288.398438, 68559, 1.258732, 79445
8, 4, 1, 1, 2,	30796.625000, 61620, 1.537586, 65037
8, 4, 1, 2, 1,	30405.228516, 60757, 1.569292, 63723
8, 4, 1, 2, 2,	26804.968750, 53584, 1.857079, 53848
8, 4, 2, 1, 1,	30043.611328, 60045, 1.598338, 62565
8, 4, 2, 1, 2,	26295.900391, 52593, 1.897785, 52693
8, 4, 2, 2, 1,	25159.822266, 50286, 1.989496, 50264
8, 4, 2, 2, 2,	20404.964844, 40752, 2.369444, 42204
8, 8, 1, 1, 1,	42155.476562, 84226, 1.258732, 79445
8, 8, 1, 1, 2,	40406.539062, 80817, 1.537586, 65037
8, 8, 1, 2, 1,	40213.304688, 80367, 1.569292, 63723
8, 8, 1, 2, 2,	38411.714844, 76833, 1.857079, 53848
8, 8, 2, 1, 1,	40033.222656, 79981, 1.598338, 62565
8, 8, 2, 1, 2,	38157.058594, 76294, 1.897785, 52693
8, 8, 2, 2, 1,	37594.167969, 75115, 1.989496, 50264
8, 8, 2, 2, 2,	35213.988281, 70446, 2.369444, 42204
